Cluster,Cluster_Name,city_count,cities,avg_AQI,std_AQI,avg_PM2_5,avg_PM10,avg_AQI_winter,avg_AQI_summer,avg_AQI_monsoon,Silhouette_k3
0,Relatively Cleaner Cities,5,"bengaluru, chennai, hyderabad, mumbai, visakhapatnam",64.05858233595974,48.918111304795005,35.88772145583052,92.97516704108213,97.28910873583243,38.712816424089425,64.15871079087015,0.29307892748911
1,Severe Hotspots,2,"delhi, lucknow",186.74756681523104,122.83917683586077,98.62333903301155,192.57640359960226,293.59760262763785,78.34189975736389,205.3755022154723,0.29307892748911
2,Intermittent Hotspots,3,"gwalior, jaipur, kolkata",118.7803494177572,96.73085865323098,59.95668608220379,124.1814346056709,209.67801585609163,47.45399052567135,127.50911152969461,0.29307892748911
