Model,MAE,RMSE,MAPE
Naive Baseline,20.995854486198688,39.23698049615165,24.857414588233535
Random Forest,21.383021049280202,37.290469089987646,27.15236538727586
XGBoost,21.808870047275214,37.708670428089434,29.095174979635573
Linear Regression,23.112736623294147,39.71669789179894,29.232702430890097
