Model,MAE,RMSE,MAPE
Random Forest,21.106401541379082,36.59415838910008,27.050985296731085
XGBoost,21.612847518755785,37.34372726749582,28.614896621576847
Linear Regression,23.989712303041582,39.376397321855336,32.893708465185476
Naive Baseline,28.695038979403115,51.01769300102065,35.72985937604861
