Model,MAE,RMSE,MAPE
Random Forest,0.2740036488953991,4.366308045722705,0.09159614299041878
XGBoost,1.1215164167189489,5.120439659010038,1.0594687987006748
Linear Regression,9.007340819686988,20.290336331017052,7.930732906397521
Naive Baseline,94.78781356097682,131.2298718629495,101.323731254334
